Species,Tube,Heat.Treatment,Nutrient.Treatment,Treatment,Day.0,Day.1,Day.2,Day.3,Day.4,Day.5,Month,Final.Survivorship
Lobactis scutaria,23,Ambient,Phosphate,AP,40,26,12,10,9,NA,2,0.225
Lobactis scutaria,24,Ambient,Phosphate,AP,40,27,22,20,12,NA,2,0.3
Lobactis scutaria,25,Ambient,Phosphate,AP,40,25,11,8,7,NA,2,0.175
Lobactis scutaria,6,Heat,Control,HC,40,33,30,27,19,9,1,0.225
Lobactis scutaria,7,Heat,Control,HC,40,26,24,21,19,18,1,0.45
Lobactis scutaria,8,Heat,Control,HC,40,14,13,11,5,5,1,0.125
Lobactis scutaria,9,Heat,Control,HC,40,20,13,10,7,5,1,0.125
Lobactis scutaria,10,Heat,Control,HC,40,22,22,16,12,9,1,0.225
Lobactis scutaria,6,Heat,Control,HC,40,30,18,14,13,NA,2,0.325
Lobactis scutaria,7,Heat,Control,HC,40,24,11,8,7,NA,2,0.175
Lobactis scutaria,8,Heat,Control,HC,40,26,18,18,13,NA,2,0.325
Lobactis scutaria,9,Heat,Control,HC,40,23,10,8,6,NA,2,0.15
Lobactis scutaria,10,Heat,Control,HC,40,23,12,12,9,NA,2,0.225
Lobactis scutaria,16,Heat,Nitrate,HN,40,18,18,16,10,5,1,0.125
Lobactis scutaria,17,Heat,Nitrate,HN,40,28,24,17,16,12,1,0.3
Lobactis scutaria,18,Heat,Nitrate,HN,40,24,20,15,11,8,1,0.2
Lobactis scutaria,19,Heat,Nitrate,HN,40,28,24,19,17,14,1,0.35
Lobactis scutaria,20,Heat,Nitrate,HN,40,23,19,12,10,6,1,0.15
Lobactis scutaria,16,Heat,Nitrate,HN,40,27,13,11,9,NA,2,0.225
Lobactis scutaria,17,Heat,Nitrate,HN,40,24,14,11,9,NA,2,0.225
Lobactis scutaria,18,Heat,Nitrate,HN,40,25,13,7,6,NA,2,0.15
Lobactis scutaria,19,Heat,Nitrate,HN,40,19,10,8,8,NA,2,0.2
Lobactis scutaria,20,Heat,Nitrate,HN,40,22,14,13,12,NA,2,0.3
Lobactis scutaria,36,Heat,Nitrate and Phosphate,HNP,40,23,18,16,13,12,1,0.3
Lobactis scutaria,37,Heat,Nitrate and Phosphate,HNP,40,17,15,14,13,10,1,0.25
Lobactis scutaria,38,Heat,Nitrate and Phosphate,HNP,40,19,18,17,12,10,1,0.25
Lobactis scutaria,39,Heat,Nitrate and Phosphate,HNP,40,23,19,18,15,9,1,0.225
Lobactis scutaria,40,Heat,Nitrate and Phosphate,HNP,40,28,25,20,20,16,1,0.4
Lobactis scutaria,36,Heat,Nitrate and Phosphate,HNP,40,23,16,11,6,NA,2,0.15
Lobactis scutaria,37,Heat,Nitrate and Phosphate,HNP,40,26,16,12,8,NA,2,0.2
Lobactis scutaria,38,Heat,Nitrate and Phosphate,HNP,40,22,18,14,11,NA,2,0.275
Lobactis scutaria,39,Heat,Nitrate and Phosphate,HNP,40,28,20,16,11,NA,2,0.275
Lobactis scutaria,40,Heat,Nitrate and Phosphate,HNP,40,32,26,23,20,NA,2,0.5
Lobactis scutaria,26,Heat,Phosphate,HP,40,22,18,16,15,15,1,0.375
Lobactis scutaria,27,Heat,Phosphate,HP,40,31,23,20,16,13,1,0.325
Lobactis scutaria,28,Heat,Phosphate,HP,40,30,24,24,24,20,1,0.5
Lobactis scutaria,29,Heat,Phosphate,HP,40,22,20,17,15,12,1,0.3
Lobactis scutaria,30,Heat,Phosphate,HP,40,14,10,9,7,3,1,0.075
Lobactis scutaria,26,Heat,Phosphate,HP,40,24,18,12,7,NA,2,0.175
Lobactis scutaria,27,Heat,Phosphate,HP,40,25,17,11,6,NA,2,0.15
Lobactis scutaria,28,Heat,Phosphate,HP,40,21,12,8,6,NA,2,0.15
Lobactis scutaria,29,Heat,Phosphate,HP,40,25,15,12,7,NA,2,0.175
Lobactis scutaria,30,Heat,Phosphate,HP,40,25,20,15,9,NA,2,0.225
Montipora capitata,1,Ambient,Control,AC,40,38,36,31,22,20,1,0.5
Montipora capitata,2,Ambient,Control,AC,40,39,39,33,27,24,1,0.6
Montipora capitata,3,Ambient,Control,AC,40,39,37,28,22,19,1,0.475
Montipora capitata,4,Ambient,Control,AC,40,38,34,31,6,2,1,0.05
Montipora capitata,5,Ambient,Control,AC,40,40,39,31,23,21,1,0.525
Montipora capitata,1,Ambient,Control,AC,40,38,37,31,20,17,2,0.425
Montipora capitata,2,Ambient,Control,AC,40,38,36,10,7,3,2,0.075
Montipora capitata,3,Ambient,Control,AC,40,39,35,28,13,7,2,0.175
Montipora capitata,4,Ambient,Control,AC,40,38,35,31,30,28,2,0.7
Montipora capitata,5,Ambient,Control,AC,40,37,36,32,30,30,2,0.75
Montipora capitata,11,Ambient,Nitrate,AN,40,40,39,39,37,35,1,0.875
Montipora capitata,12,Ambient,Nitrate,AN,40,37,33,33,29,26,1,0.65
Montipora capitata,13,Ambient,Nitrate,AN,40,40,39,38,34,33,1,0.825
Montipora capitata,14,Ambient,Nitrate,AN,40,40,38,36,35,34,1,0.85
Montipora capitata,15,Ambient,Nitrate,AN,40,39,38,36,30,18,1,0.45
Montipora capitata,11,Ambient,Nitrate,AN,40,39,36,30,19,3,2,0.075
Montipora capitata,12,Ambient,Nitrate,AN,40,39,34,31,23,20,2,0.5
Montipora capitata,13,Ambient,Nitrate,AN,40,38,29,9,3,1,2,0.025
Montipora capitata,14,Ambient,Nitrate,AN,40,37,29,17,7,3,2,0.075
Montipora capitata,15,Ambient,Nitrate,AN,40,35,31,26,20,17,2,0.425
Montipora capitata,31,Ambient,Nitrate and Phosphate,ANP,40,40,36,34,32,29,1,0.725
Montipora capitata,32,Ambient,Nitrate and Phosphate,ANP,40,38,37,34,29,29,1,0.725
Montipora capitata,33,Ambient,Nitrate and Phosphate,ANP,40,39,35,32,29,27,1,0.675
Montipora capitata,34,Ambient,Nitrate and Phosphate,ANP,40,39,33,26,21,18,1,0.45
Montipora capitata,35,Ambient,Nitrate and Phosphate,ANP,40,39,36,36,32,27,1,0.675
Montipora capitata,31,Ambient,Nitrate and Phosphate,ANP,40,37,33,31,27,24,2,0.6
Montipora capitata,32,Ambient,Nitrate and Phosphate,ANP,40,39,37,34,29,21,2,0.525
Montipora capitata,33,Ambient,Nitrate and Phosphate,ANP,40,40,36,28,26,22,2,0.55
Montipora capitata,34,Ambient,Nitrate and Phosphate,ANP,40,40,35,30,17,11,2,0.275
Montipora capitata,35,Ambient,Nitrate and Phosphate,ANP,40,37,34,33,31,31,2,0.775
Montipora capitata,21,Ambient,Phosphate,AP,40,40,40,28,27,26,1,0.65
Montipora capitata,22,Ambient,Phosphate,AP,40,33,32,29,27,24,1,0.6
Montipora capitata,23,Ambient,Phosphate,AP,40,40,38,18,16,14,1,0.35
Montipora capitata,24,Ambient,Phosphate,AP,40,39,32,22,17,9,1,0.225
Montipora capitata,25,Ambient,Phosphate,AP,40,40,38,37,33,33,1,0.825
Montipora capitata,21,Ambient,Phosphate,AP,40,36,35,33,32,31,2,0.775
Montipora capitata,22,Ambient,Phosphate,AP,40,40,37,33,27,24,2,0.6
Montipora capitata,23,Ambient,Phosphate,AP,40,36,36,36,31,29,2,0.725
Montipora capitata,24,Ambient,Phosphate,AP,40,34,15,8,4,3,2,0.075
Montipora capitata,25,Ambient,Phosphate,AP,40,38,33,33,30,30,2,0.75
Montipora capitata,6,Heat,Control,HC,40,40,35,29,12,7,1,0.175
Montipora capitata,7,Heat,Control,HC,40,40,39,32,24,19,1,0.475
Montipora capitata,8,Heat,Control,HC,40,40,40,36,27,26,1,0.65
Montipora capitata,9,Heat,Control,HC,40,39,39,30,24,22,1,0.55
Montipora capitata,10,Heat,Control,HC,40,40,39,27,25,23,1,0.575
Montipora capitata,6,Heat,Control,HC,40,39,38,37,34,32,2,0.8
Montipora capitata,7,Heat,Control,HC,40,38,35,35,30,27,2,0.675
Montipora capitata,8,Heat,Control,HC,40,40,40,37,33,30,2,0.75
Montipora capitata,9,Heat,Control,HC,40,40,32,31,26,24,2,0.6
Montipora capitata,10,Heat,Control,HC,40,40,40,38,38,30,2,0.75
Montipora capitata,16,Heat,Nitrate,HN,40,40,37,30,14,10,1,0.25
Montipora capitata,17,Heat,Nitrate,HN,40,40,40,35,24,16,1,0.4
Montipora capitata,18,Heat,Nitrate,HN,40,39,30,21,19,12,1,0.3
Montipora capitata,19,Heat,Nitrate,HN,40,40,39,36,35,33,1,0.825
Montipora capitata,20,Heat,Nitrate,HN,40,37,37,35,35,35,1,0.875
Montipora capitata,16,Heat,Nitrate,HN,40,35,28,25,21,19,2,0.475
Montipora capitata,17,Heat,Nitrate,HN,40,38,30,25,18,18,2,0.45
Montipora capitata,18,Heat,Nitrate,HN,40,37,37,34,33,30,2,0.75
Montipora capitata,19,Heat,Nitrate,HN,40,36,32,18,15,14,2,0.35
Montipora capitata,20,Heat,Nitrate,HN,40,38,34,31,30,26,2,0.65
Montipora capitata,36,Heat,Nitrate and Phosphate,HNP,40,38,37,33,30,26,1,0.65
Montipora capitata,37,Heat,Nitrate and Phosphate,HNP,40,39,39,39,36,32,1,0.8
Montipora capitata,38,Heat,Nitrate and Phosphate,HNP,40,38,35,32,25,23,1,0.575
Montipora capitata,39,Heat,Nitrate and Phosphate,HNP,40,37,35,28,22,20,1,0.5
Montipora capitata,40,Heat,Nitrate and Phosphate,HNP,40,40,40,37,34,28,1,0.7
Montipora capitata,36,Heat,Nitrate and Phosphate,HNP,40,36,32,31,26,25,2,0.625
Montipora capitata,37,Heat,Nitrate and Phosphate,HNP,40,38,37,34,30,26,2,0.65
Montipora capitata,38,Heat,Nitrate and Phosphate,HNP,40,34,30,23,21,20,2,0.5
Montipora capitata,39,Heat,Nitrate and Phosphate,HNP,40,38,35,30,27,26,2,0.65
Montipora capitata,40,Heat,Nitrate and Phosphate,HNP,40,37,29,18,11,10,2,0.25
Montipora capitata,26,Heat,Phosphate,HP,40,39,39,37,37,35,1,0.875
Montipora capitata,27,Heat,Phosphate,HP,40,38,37,35,30,28,1,0.7
Montipora capitata,28,Heat,Phosphate,HP,40,38,38,27,25,24,1,0.6
Montipora capitata,29,Heat,Phosphate,HP,40,39,37,33,33,31,1,0.775
Montipora capitata,30,Heat,Phosphate,HP,40,40,35,27,25,23,1,0.575
Montipora capitata,26,Heat,Phosphate,HP,40,38,33,27,25,25,2,0.625
Montipora capitata,27,Heat,Phosphate,HP,40,35,33,33,31,24,2,0.6
Montipora capitata,28,Heat,Phosphate,HP,40,37,33,29,28,25,2,0.625
Montipora capitata,29,Heat,Phosphate,HP,40,40,35,34,32,21,2,0.525
Montipora capitata,30,Heat,Phosphate,HP,40,38,36,34,33,29,2,0.725
Pocillopora acuta,6,Ambient,Control,AC,20,20,20,20,20,20,2,1
Pocillopora acuta,8,Ambient,Control,AC,20,20,20,20,20,20,2,1
Pocillopora acuta,17,Ambient,Control,AC,20,20,20,20,20,20,2,1
Pocillopora acuta,31,Ambient,Control,AC,20,20,20,20,20,20,2,1
Pocillopora acuta,32,Ambient,Control,AC,20,19,19,17,17,16,2,0.8
Pocillopora acuta,23,Ambient,Nitrate,AN,20,19,19,19,19,19,2,0.95
Pocillopora acuta,24,Ambient,Nitrate,AN,20,20,20,20,19,19,2,0.95
Pocillopora acuta,27,Ambient,Nitrate,AN,20,20,20,20,20,20,2,1
Pocillopora acuta,34,Ambient,Nitrate,AN,20,20,20,20,18,18,2,0.9
Pocillopora acuta,40,Ambient,Nitrate,AN,20,19,17,16,16,15,2,0.75
Pocillopora acuta,14,Ambient,Nitrate and Phosphate,ANP,20,20,20,19,19,19,2,0.95
Pocillopora acuta,16,Ambient,Nitrate and Phosphate,ANP,20,20,20,18,18,18,2,0.9
Pocillopora acuta,19,Ambient,Nitrate and Phosphate,ANP,20,20,20,20,20,20,2,1
Pocillopora acuta,20,Ambient,Nitrate and Phosphate,ANP,20,20,20,20,18,17,2,0.85
Pocillopora acuta,36,Ambient,Nitrate and Phosphate,ANP,20,20,20,20,20,20,2,1
Pocillopora acuta,4,Ambient,Phosphate,AP,20,20,19,19,18,18,2,0.9
Pocillopora acuta,7,Ambient,Phosphate,AP,20,20,20,19,19,19,2,0.95
Pocillopora acuta,9,Ambient,Phosphate,AP,20,20,20,20,19,19,2,0.95
Pocillopora acuta,18,Ambient,Phosphate,AP,20,20,20,20,20,19,2,0.95
Pocillopora acuta,35,Ambient,Phosphate,AP,20,20,20,20,20,20,2,1
Pocillopora acuta,2,Heat,Control,HC,20,20,20,19,19,19,2,0.95
Pocillopora acuta,3,Heat,Control,HC,20,20,20,20,20,20,2,1
Pocillopora acuta,5,Heat,Control,HC,20,19,19,19,19,18,2,0.9
Pocillopora acuta,15,Heat,Control,HC,20,20,20,20,20,20,2,1
Pocillopora acuta,28,Heat,Control,HC,20,20,20,18,18,18,2,0.9
Pocillopora acuta,10,Heat,Nitrate,HN,20,20,20,20,20,19,2,0.95
Pocillopora acuta,29,Heat,Nitrate,HN,20,20,20,20,20,20,2,1
Pocillopora acuta,33,Heat,Nitrate,HN,20,20,19,19,19,19,2,0.95
Pocillopora acuta,38,Heat,Nitrate,HN,20,20,19,18,17,17,2,0.85
Pocillopora acuta,39,Heat,Nitrate,HN,20,20,20,20,19,19,2,0.95
Pocillopora acuta,12,Heat,Nitrate and Phosphate,HNP,20,20,20,20,20,20,2,1
Pocillopora acuta,21,Heat,Nitrate and Phosphate,HNP,20,20,19,19,19,19,2,0.95
Pocillopora acuta,22,Heat,Nitrate and Phosphate,HNP,20,20,20,20,20,20,2,1
Pocillopora acuta,25,Heat,Nitrate and Phosphate,HNP,20,20,20,20,20,20,2,1
Pocillopora acuta,37,Heat,Nitrate and Phosphate,HNP,20,20,20,20,20,19,2,0.95
Pocillopora acuta,1,Heat,Phosphate,HP,20,19,19,19,19,19,2,0.95
Pocillopora acuta,11,Heat,Phosphate,HP,20,20,20,20,20,20,2,1
Pocillopora acuta,13,Heat,Phosphate,HP,20,20,20,20,20,20,2,1
Pocillopora acuta,30,Heat,Phosphate,HP,20,20,20,20,20,19,2,0.95
